epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2660.06,1.37131,0.98284,0.91675,0.43335,0.33225,0.32702,0.18938,1.36322,0.99476,0.91302,0.004357,0.004357,0.004357
59,2705.21,1.37342,0.98467,0.91485,0.44088,0.32582,0.32805,0.18932,1.3642,0.99288,0.91287,0.004258,0.004258,0.004258
60,2750.48,1.37254,0.97788,0.91648,0.44014,0.32198,0.32633,0.1899,1.36512,0.99325,0.91228,0.004159,0.004159,0.004159
61,2796.18,1.38159,0.98658,0.91613,0.43543,0.32502,0.3275,0.19084,1.36108,0.98933,0.91139,0.00406,0.00406,0.00406
62,2841.87,1.36791,0.9733,0.91415,0.44318,0.32406,0.32971,0.19195,1.36016,0.98844,0.91142,0.003961,0.003961,0.003961
63,2887.72,1.37349,0.97599,0.91343,0.44161,0.32396,0.3286,0.19229,1.35338,0.98728,0.91119,0.003862,0.003862,0.003862
64,2933.32,1.36691,0.97677,0.91388,0.44008,0.32535,0.32872,0.1915,1.3537,0.98701,0.90977,0.003763,0.003763,0.003763
65,2978.5,1.36516,0.97057,0.91388,0.43572,0.33279,0.33313,0.19368,1.35605,0.98293,0.90949,0.003664,0.003664,0.003664
66,3023.96,1.37173,0.97278,0.9147,0.43981,0.327,0.32926,0.19171,1.35779,0.98401,0.91135,0.003565,0.003565,0.003565
67,3069.27,1.36232,0.96703,0.91357,0.4409,0.32816,0.33257,0.19442,1.35657,0.98243,0.91142,0.003466,0.003466,0.003466
68,3114.72,1.36675,0.96607,0.91169,0.44055,0.32903,0.33125,0.19452,1.35469,0.98254,0.91082,0.003367,0.003367,0.003367
69,3160.56,1.35817,0.96503,0.912,0.44537,0.32701,0.33093,0.1928,1.35762,0.9803,0.91238,0.003268,0.003268,0.003268
70,3206.29,1.35644,0.95567,0.91165,0.44227,0.33012,0.33358,0.19447,1.35401,0.98271,0.91008,0.003169,0.003169,0.003169
71,3252.14,1.35531,0.95688,0.91117,0.44219,0.33209,0.33426,0.19496,1.35035,0.98021,0.90905,0.00307,0.00307,0.00307
72,3297.78,1.35553,0.95517,0.91144,0.44053,0.32903,0.33204,0.19391,1.34981,0.97904,0.90894,0.002971,0.002971,0.002971
73,3343.31,1.34711,0.95031,0.90935,0.43573,0.32608,0.33112,0.19337,1.35232,0.98336,0.90878,0.002872,0.002872,0.002872
74,3388.92,1.35103,0.94977,0.90949,0.43342,0.33417,0.33223,0.19349,1.35035,0.97927,0.90887,0.002773,0.002773,0.002773
75,3434.1,1.34818,0.94941,0.90898,0.4451,0.3304,0.33381,0.19397,1.3525,0.97785,0.90962,0.002674,0.002674,0.002674
76,3479.65,1.35333,0.94972,0.9095,0.43757,0.3371,0.33524,0.19579,1.35013,0.97756,0.90825,0.002575,0.002575,0.002575
77,3525.15,1.35559,0.95013,0.90986,0.44147,0.33309,0.33428,0.19525,1.34983,0.9781,0.90831,0.002476,0.002476,0.002476
78,3570.72,1.33921,0.93777,0.90652,0.44583,0.33258,0.33475,0.19537,1.34817,0.97888,0.9077,0.002377,0.002377,0.002377
79,3616.28,1.3422,0.94382,0.90787,0.44029,0.33069,0.33406,0.19475,1.3475,0.97664,0.90787,0.002278,0.002278,0.002278
80,3661.69,1.33784,0.93582,0.90676,0.44372,0.33573,0.33672,0.19613,1.34446,0.97535,0.90745,0.002179,0.002179,0.002179
81,3707.01,1.33542,0.93142,0.90791,0.43961,0.33296,0.33445,0.1956,1.34763,0.9782,0.90748,0.00208,0.00208,0.00208
82,3752.8,1.34664,0.93972,0.90636,0.44243,0.33545,0.33639,0.19639,1.34782,0.97538,0.90769,0.001981,0.001981,0.001981
83,3798.53,1.33871,0.93308,0.90661,0.43764,0.33779,0.33705,0.19638,1.34601,0.97557,0.90772,0.001882,0.001882,0.001882
84,3844.35,1.3385,0.93246,0.90615,0.44157,0.34068,0.33827,0.19794,1.34441,0.9752,0.90799,0.001783,0.001783,0.001783
85,3889.98,1.33499,0.93105,0.90631,0.45049,0.33414,0.33727,0.19783,1.34729,0.97297,0.90834,0.001684,0.001684,0.001684
86,3935.68,1.33979,0.93322,0.90601,0.45366,0.33349,0.33769,0.19756,1.34549,0.97046,0.90798,0.001585,0.001585,0.001585
87,3981.23,1.3273,0.92472,0.90458,0.45616,0.33266,0.33727,0.19724,1.34503,0.97082,0.9073,0.001486,0.001486,0.001486
88,4026.81,1.32936,0.92067,0.9046,0.44606,0.33787,0.33757,0.19722,1.34549,0.97171,0.90709,0.001387,0.001387,0.001387
89,4072.24,1.33099,0.92469,0.90385,0.44856,0.33707,0.33741,0.19737,1.34397,0.9717,0.90691,0.001288,0.001288,0.001288
90,4117.98,1.32581,0.91734,0.90459,0.45498,0.33113,0.33763,0.19775,1.34385,0.9712,0.90705,0.001189,0.001189,0.001189
91,4164.31,1.29941,0.89888,0.9053,0.44829,0.33109,0.3354,0.19591,1.34781,0.97385,0.90764,0.00109,0.00109,0.00109
92,4208.58,1.28608,0.87973,0.90095,0.45503,0.32622,0.33377,0.19577,1.34815,0.974,0.90769,0.000991,0.000991,0.000991
93,4252.49,1.28786,0.88067,0.90057,0.43984,0.32868,0.3334,0.19494,1.34819,0.97471,0.90752,0.000892,0.000892,0.000892
94,4296.51,1.28485,0.87566,0.90102,0.44737,0.32603,0.33278,0.1946,1.349,0.97697,0.90749,0.000793,0.000793,0.000793
95,4340.34,1.2822,0.87239,0.89969,0.44599,0.32871,0.33322,0.19413,1.34926,0.97558,0.9075,0.000694,0.000694,0.000694
96,4384.11,1.27888,0.86769,0.89985,0.45138,0.32699,0.33417,0.19531,1.34754,0.97507,0.90703,0.000595,0.000595,0.000595
97,4428.27,1.2724,0.86307,0.89854,0.4516,0.32994,0.33504,0.19537,1.34713,0.97405,0.90714,0.000496,0.000496,0.000496
98,4472.04,1.27609,0.86393,0.89933,0.46081,0.32773,0.33537,0.19591,1.34645,0.9733,0.907,0.000397,0.000397,0.000397
99,4515.92,1.27255,0.86024,0.89719,0.46057,0.32845,0.33523,0.19629,1.34626,0.97278,0.90699,0.000298,0.000298,0.000298
100,4560.03,1.2668,0.85788,0.89743,0.45645,0.331,0.33603,0.1964,1.34649,0.97308,0.90711,0.000199,0.000199,0.000199
